date,daily_rain
01-Jan-41,0
02-Jan-41,0
03-Jan-41,0
04-Jan-41,1.8
05-Jan-41,0
06-Jan-41,0
07-Jan-41,0
08-Jan-41,0
09-Jan-41,0
10-Jan-41,0
11-Jan-41,0
12-Jan-41,0
13-Jan-41,0
14-Jan-41,0.3
15-Jan-41,0
16-Jan-41,1.5
17-Jan-41,5.6
18-Jan-41,8.1
19-Jan-41,21.6
20-Jan-41,1.3
21-Jan-41,1
22-Jan-41,0
23-Jan-41,7.6
24-Jan-41,5.1
25-Jan-41,2.5
26-Jan-41,23.1
27-Jan-41,5.1
28-Jan-41,5.8
29-Jan-41,20.3
30-Jan-41,11.4
31-Jan-41,0
01-Feb-41,1
02-Feb-41,8.4
03-Feb-41,0
04-Feb-41,14.5
05-Feb-41,1
06-Feb-41,2.5
07-Feb-41,0.8
08-Feb-41,4.1
09-Feb-41,0.8
10-Feb-41,0.5
11-Feb-41,7.4
12-Feb-41,0.5
13-Feb-41,4.3
14-Feb-41,0.8
15-Feb-41,0
16-Feb-41,8.4
17-Feb-41,1.5
18-Feb-41,0
19-Feb-41,0.5
20-Feb-41,1.8
21-Feb-41,4.1
22-Feb-41,6.4
23-Feb-41,0.3
24-Feb-41,0
25-Feb-41,0
26-Feb-41,21.1
27-Feb-41,7.9
28-Feb-41,3.8
01-Mar-41,15
02-Mar-41,0.3
03-Mar-41,3.6
04-Mar-41,0
05-Mar-41,0.8
06-Mar-41,0
07-Mar-41,0.3
08-Mar-41,1.3
09-Mar-41,0
10-Mar-41,3.8
11-Mar-41,1.5
12-Mar-41,1.8
13-Mar-41,0.8
14-Mar-41,0.3
15-Mar-41,0
16-Mar-41,0
17-Mar-41,4.6
18-Mar-41,0
19-Mar-41,0
20-Mar-41,0
21-Mar-41,0
22-Mar-41,0
23-Mar-41,3.3
24-Mar-41,0.3
25-Mar-41,4.1
26-Mar-41,4.8
27-Mar-41,7.9
28-Mar-41,3.8
29-Mar-41,0
30-Mar-41,12.2
31-Mar-41,31.2
01-Apr-41,1.8
02-Apr-41,2.3
03-Apr-41,0
04-Apr-41,0
05-Apr-41,0
06-Apr-41,0
07-Apr-41,0
08-Apr-41,0.8
09-Apr-41,1.8
10-Apr-41,0
11-Apr-41,0
12-Apr-41,0
13-Apr-41,5.1
14-Apr-41,0
15-Apr-41,0
16-Apr-41,4.8
17-Apr-41,10.7
18-Apr-41,5.6
19-Apr-41,1.3
20-Apr-41,0.8
21-Apr-41,0
22-Apr-41,0
23-Apr-41,0
24-Apr-41,0
25-Apr-41,0
26-Apr-41,0
27-Apr-41,1.3
28-Apr-41,0
29-Apr-41,0
30-Apr-41,0
01-May-41,0
02-May-41,0
03-May-41,0
04-May-41,0
05-May-41,0
06-May-41,0
07-May-41,0
08-May-41,0
09-May-41,0
10-May-41,0
11-May-41,0
12-May-41,0
13-May-41,0
14-May-41,0
15-May-41,0
16-May-41,0
17-May-41,4.3
18-May-41,11.7
19-May-41,1.3
